a.R.eye,387,564,01_frame000688.jpg,1920,1080
a.L.eye,467,548,01_frame000688.jpg,1920,1080
a.R.shoulder,195,636,01_frame000688.jpg,1920,1080
a.R.elbow,136,963,01_frame000688.jpg,1920,1080
a.R.wrist,253,924,01_frame000688.jpg,1920,1080
a.L.elbow,778,707,01_frame000688.jpg,1920,1080
a.L.knee,799,893,01_frame000688.jpg,1920,1080
a.L.wrist,708,767,01_frame000688.jpg,1920,1080
i.R.eye,601,641,01_frame000688.jpg,1920,1080
i.L.eye,655,637,01_frame000688.jpg,1920,1080
i.L.knee,655,884,01_frame000688.jpg,1920,1080
i.L.hip,724,852,01_frame000688.jpg,1920,1080
i.L.ankle,669,1000,01_frame000688.jpg,1920,1080
i.L.elbow,766,726,01_frame000688.jpg,1920,1080
i.R.elbow,515,779,01_frame000688.jpg,1920,1080
a.R.knee,580,953,01_frame000688.jpg,1920,1080
a.R.ankle,1158,699,01_frame002911.jpg,1920,1080
a.R.knee,1388,686,01_frame002911.jpg,1920,1080
a.R.wrist,1479,768,01_frame002911.jpg,1920,1080
a.L.shoulder,1878,774,01_frame002911.jpg,1920,1080
a.L.eye,1712,693,01_frame002911.jpg,1920,1080
a.L.elbow,1852,933,01_frame002911.jpg,1920,1080
a.L.wrist,1680,891,01_frame002911.jpg,1920,1080
a.R.hip,1570,635,01_frame002911.jpg,1920,1080
i.R.wrist,1356,891,01_frame002911.jpg,1920,1080
i.L.hip,1200,819,01_frame002911.jpg,1920,1080
i.R.hip,1190,865,01_frame002911.jpg,1920,1080
i.R.ankle,999,868,01_frame002911.jpg,1920,1080
i.L.ankle,1048,816,01_frame002911.jpg,1920,1080
i.R.shoulder,1304,842,01_frame002911.jpg,1920,1080
a.R.eye,658,254,02_frame003928.jpg,1920,1080
a.R.wrist,663,677,02_frame003928.jpg,1920,1080
a.L.wrist,695,379,02_frame003928.jpg,1920,1080
a.R.shoulder,410,412,02_frame003928.jpg,1920,1080
a.R.elbow,460,680,02_frame003928.jpg,1920,1080
a.R.hip,339,740,02_frame003928.jpg,1920,1080
i.L.eye,1262,658,02_frame003928.jpg,1920,1080
i.L.shoulder,1374,744,02_frame003928.jpg,1920,1080
i.L.wrist,1194,823,02_frame003928.jpg,1920,1080
i.R.wrist,1181,725,02_frame003928.jpg,1920,1080
a.L.knee,727,412,02_frame003928.jpg,1920,1080
a.R.knee,628,715,02_frame003928.jpg,1920,1080
i.L.elbow,1300,778,02_frame003928.jpg,1920,1080
i.L.hip,1586,789,02_frame003928.jpg,1920,1080
i.L.knee,1680,881,02_frame003928.jpg,1920,1080
i.L.ankle,1752,824,02_frame003928.jpg,1920,1080
i.R.ankle,1712,759,02_frame003928.jpg,1920,1080
a.R.shoulder,657,127,02_frame004474.jpg,1920,1080
a.R.wrist,777,393,02_frame004474.jpg,1920,1080
a.L.shoulder,1075,164,02_frame004474.jpg,1920,1080
a.L.wrist,999,500,02_frame004474.jpg,1920,1080
i.R.eye,827,285,02_frame004474.jpg,1920,1080
i.R.wrist,886,286,02_frame004474.jpg,1920,1080
i.R.wrist,996,355,02_frame004474.jpg,1920,1080
a.L.elbow,1093,362,02_frame004474.jpg,1920,1080
a.R.elbow,576,332,02_frame004474.jpg,1920,1080
i.R.elbow,519,405,02_frame005098.jpg,1920,1080
i.R.shoulder,480,321,02_frame005098.jpg,1920,1080
i.R.eye,652,256,02_frame005098.jpg,1920,1080
i.R.wrist,668,426,02_frame005098.jpg,1920,1080
i.R.ankle,845,659,02_frame005098.jpg,1920,1080
i.L.eye,684,235,02_frame005098.jpg,1920,1080
a.R.eye,1006,39,02_frame005098.jpg,1920,1080
a.L.eye,1063,47,02_frame005098.jpg,1920,1080
a.R.shoulder,883,157,02_frame005098.jpg,1920,1080
a.L.shoulder,1241,180,02_frame005098.jpg,1920,1080
a.L.elbow,1351,363,02_frame005098.jpg,1920,1080
a.L.wrist,1123,337,02_frame005098.jpg,1920,1080
a.R.ankle,961,850,02_frame005098.jpg,1920,1080
a.R.wrist,990,217,02_frame005098.jpg,1920,1080
i.R.eye,1273,403,03_frame002104.jpg,1920,1080
i.L.eye,1307,402,03_frame002104.jpg,1920,1080
a.L.eye,1432,263,03_frame002104.jpg,1920,1080
a.R.eye,1390,264,03_frame002104.jpg,1920,1080
a.L.shoulder,1531,325,03_frame002104.jpg,1920,1080
a.L.elbow,1536,527,03_frame002104.jpg,1920,1080
a.L.wrist,1414,640,03_frame002104.jpg,1920,1080
a.L.knee,1208,623,03_frame002104.jpg,1920,1080
i.R.ankle,1146,574,03_frame002104.jpg,1920,1080
i.R.elbow,1206,430,03_frame002104.jpg,1920,1080
i.R.shoulder,1227,394,03_frame002104.jpg,1920,1080
i.L.shoulder,1373,411,03_frame002104.jpg,1920,1080
i.L.wrist,1312,481,03_frame002104.jpg,1920,1080
i.R.wrist,1229,464,03_frame002104.jpg,1920,1080
i.R.hip,1229,511,03_frame002104.jpg,1920,1080
a.R.eye,1389,265,03_frame002119.jpg,1920,1080
a.L.eye,1434,271,03_frame002119.jpg,1920,1080
i.L.eye,1265,365,03_frame002119.jpg,1920,1080
i.R.eye,1235,363,03_frame002119.jpg,1920,1080
i.R.elbow,1190,444,03_frame002119.jpg,1920,1080
i.L.elbow,1365,473,03_frame002119.jpg,1920,1080
i.R.ankle,1143,588,03_frame002119.jpg,1920,1080
i.R.shoulder,1207,379,03_frame002119.jpg,1920,1080
i.L.shoulder,1348,394,03_frame002119.jpg,1920,1080
a.L.shoulder,1535,318,03_frame002119.jpg,1920,1080
a.R.shoulder,1327,317,03_frame002119.jpg,1920,1080
a.R.elbow,1532,561,03_frame002119.jpg,1920,1080
a.L.wrist,1482,739,03_frame002119.jpg,1920,1080
a.R.wrist,1216,500,03_frame002119.jpg,1920,1080
a.R.shoulder,205,648,03_frame005017.jpg,1920,1080
a.R.wrist,507,973,03_frame005017.jpg,1920,1080
a.R.eye,380,490,03_frame005017.jpg,1920,1080
a.R.hip,266,1051,03_frame005017.jpg,1920,1080
a.R.knee,615,1015,03_frame005017.jpg,1920,1080
i.R.wrist,557,852,03_frame005017.jpg,1920,1080
i.R.shoulder,469,828,03_frame005017.jpg,1920,1080
a.R.shoulder,1151,37,04_frame006361.jpg,1920,1080
a.L.shoulder,1539,91,04_frame006361.jpg,1920,1080
a.R.elbow,1129,264,04_frame006361.jpg,1920,1080
a.L.elbow,1471,404,04_frame006361.jpg,1920,1080
a.L.wrist,1300,527,04_frame006361.jpg,1920,1080
a.R.wrist,1178,450,04_frame006361.jpg,1920,1080
i.L.knee,1084,498,04_frame006361.jpg,1920,1080
i.R.knee,1277,691,04_frame006361.jpg,1920,1080
i.R.ankle,1381,693,04_frame006361.jpg,1920,1080
i.R.elbow,920,665,04_frame006361.jpg,1920,1080
i.R.shoulder,859,784,04_frame006361.jpg,1920,1080
i.R.wrist,793,612,04_frame006361.jpg,1920,1080
i.L.wrist,790,571,04_frame006361.jpg,1920,1080
i.R.hip,1140,736,04_frame006361.jpg,1920,1080
i.L.hip,1068,597,04_frame006361.jpg,1920,1080
a.L.hip,1529,426,04_frame006361.jpg,1920,1080
a.R.knee,920,372,04_frame006361.jpg,1920,1080
a.L.knee,1575,616,04_frame006361.jpg,1920,1080
i.R.eye,1086,448,04_frame007285.jpg,1920,1080
i.R.shoulder,973,585,04_frame007285.jpg,1920,1080
i.R.elbow,1022,750,04_frame007285.jpg,1920,1080
i.R.wrist,1105,842,04_frame007285.jpg,1920,1080
i.L.wrist,1183,641,04_frame007285.jpg,1920,1080
i.R.knee,1074,872,04_frame007285.jpg,1920,1080
i.R.hip,913,804,04_frame007285.jpg,1920,1080
i.R.ankle,1206,899,04_frame007285.jpg,1920,1080
i.L.elbow,1105,584,04_frame007285.jpg,1920,1080
a.R.shoulder,1100,19,04_frame007285.jpg,1920,1080
a.L.shoulder,1489,44,04_frame007285.jpg,1920,1080
a.L.elbow,1480,303,04_frame007285.jpg,1920,1080
a.L.wrist,1320,398,04_frame007285.jpg,1920,1080
a.R.wrist,1224,439,04_frame007285.jpg,1920,1080
a.R.elbow,1113,266,04_frame007285.jpg,1920,1080
i.R.elbow,177,678,04_frame009193.jpg,1920,1080
i.R.eye,282,503,04_frame009193.jpg,1920,1080
i.L.eye,349,511,04_frame009193.jpg,1920,1080
i.L.wrist,383,638,04_frame009193.jpg,1920,1080
i.L.elbow,479,676,04_frame009193.jpg,1920,1080
i.R.hip,179,828,04_frame009193.jpg,1920,1080
i.L.hip,390,875,04_frame009193.jpg,1920,1080
i.R.knee,128,962,04_frame009193.jpg,1920,1080
i.L.knee,381,1015,04_frame009193.jpg,1920,1080
i.R.ankle,236,1058,04_frame009193.jpg,1920,1080
a.R.elbow,584,140,04_frame009193.jpg,1920,1080
a.R.hip,831,197,04_frame009193.jpg,1920,1080
a.L.hip,949,149,04_frame009193.jpg,1920,1080
a.R.knee,1077,303,04_frame009193.jpg,1920,1080
a.L.knee,1157,208,04_frame009193.jpg,1920,1080
a.R.ankle,1199,569,04_frame009193.jpg,1920,1080
